Результат,Ценности,Показатель 2,Показатель 3
Воздействие на отношение к своему здоровью,Жизнь,"Рост числа участников, прошедших профилактические обследования после просветительских акций проекта (сравнение с контрольной группой).","Увеличение доли респондентов, отметивших улучшение режима сна, питания или физической активности (опрос через 3 месяца)."
возможности самовыражения членов локального сообщества через вовлечение в творческие практики,Жизнь,"Количество публичных презентаций (выставок, читок, концертов), организованных участниками из местного сообщества.",Индекс разнообразия используемых жанров и техник (по количеству заявленных направлений) в сравнении с предыдущим периодом.
Возможности самореализации,Достоинство,"Количество участников, получивших конкретный статус (диплом, сертификат, грант) или признание на региональном уровне."," Увеличение доли участников, отметивших рост самооценки и ощущения полезности (по шкале удовлетворенности)."
Возможность отвлечения от повседневных забот,Крепкая семья,Средний уровень субъективного снятия стресса после мероприятия (по 10-балльной шкале «до/после»).,"Количество посетителей, регулярно возвращающихся на площадку в «тяжелые» будни (вечерние часы)."
возможность творческого или символического самовыражения,Жизнь,"Количество созданных арт-объектов, инсталляций или символических работ, оставленных в публичном пространстве.","Доля участников, отметивших в анкетах, что через проект смогли передать свои переживания или ценности."
Вызов традиционному способу предоставления услуг,"Жизнь, Права и свободы человека","Количество внедренных экспериментальных форматов (онлайн-регистрация, мобильное приложение, гибкое расписание) с оценкой обратной связи.","Рост числа пользователей, выбравших новый формат вместо традиционного (по данным опроса)."
"выражение общих смыслов (включая духовную, трансперсональную связь)",Приоритет духовного над материальным,"Количество созданных совместных ритуалов или коллективных действий (шествия, перформансы, общие молитвы/медитации), вовлекших разные группы.","Индекс сплоченности (по методике групповой идентичности), замеряемый до и после проекта."
"Гармонизация социально-экономического развития регионов страны, особенно малых городов и сельских поселений","Служение Отечеству и ответственность за его судьбу, Единство народов России, Патриотизм",Снижение разрыва в уровне досуговой активности между малым городом и областным центром (в часах посещения культуры на душу).,Рост количества зарегистрированных субъектов МСП в сфере услуг на территории после старта проекта.
Городская реновация,Служение Отечеству и ответственность за его судьбу,"Количество объектов (фасадов, дворов, скверов), приведенных в порядок в рамках проекта.",Рост посещаемости реновированных зон (по счетчикам или данным мобильных операторов) по сравнению с предыдущим годом.
Достоинство,Достоинство,"Доля участников, указавших в анкете, что почувствовали уважение к себе и своей деятельности (опрос «до/после»).","Количество публичных упоминаний в СМИ, где проект связан с повышением самоуважения местных жителей."
Доступность среды ,Справедливость,"Количество устраненных физических барьеров (пандусы, тактильная плитка, адаптированные туалеты) на площадках проекта.",Доля посетителей с ограниченными возможностями здоровья среди общей аудитории (рост в процентах).
Зеленый менеджмент и девелопмент среды,Служение Отечеству и ответственность за его судьбу,Количество высаженных деревьев/кустарников и объем использованных экологичных материалов (в тоннах/кв.м).,Сокращение углеродного следа мероприятий (расчет на одного посетителя) за счет раздельного сбора и локального снабжения.
Изменение благополучия локального сообщества / рост социального капитала,"Жизнь, Достоинство, Права и свободы человека",Рост числа взаимных визитов и совместных инициатив между соседями (фиксация новых микропроектов).,Индекс доверия к соседям и местным организациям (по методике опроса).
Изменение знаний и навыков,Жизнь,"Средний балл прироста в тестировании по конкретным компетенциям (например, цифровая грамотность, ремесло).",Количество выданных сертификатов/свидетельств о прохождении обучения.
"Изменение отношения к культуре, обществу, наследию, экологии …","Патриотизм, Гражданственность, Высокие нравственные идеалы, Историческая память и преемственность поколений","Рост доли жителей, считающих местное наследие важным (опрос).","Количество людей, принявших участие в экологических акциях после культурных событий."
Изменение поведения,Приоритет духовного над материальным,Увеличение частоты посещения культурных событий в месяц (по дневникам участников).,"Количество устойчивых привычек (например, использование многоразовой посуды, отказ от курения), зафиксированных через повторные опросы."
Изменение понимания/ ожиданий возможностей самореализации,Взаимопомощь и взаимоуважение,"Рост амбиций – доля участников, планирующих сменить работу или начать свое дело (опрос).","Количество заявок на новые образовательные программы, поданных после участия."
Изменение чувства безопасности,Права и свободы человека,Снижение числа жалоб на хулиганство и вандализм в зоне проекта (по данным УК или администрации).,Рост оценки безопасности по 5-балльной шкале среди местных жителей.
Изменение чувства валидированности (не стигматизированности),"Права и свободы человека, Достоинство, Гуманизм, Милосердие, Взаимопомощь и взаимоуважение, Справедливость","Доля участников из уязвимых групп, отметивших снижение ощущения отверженности (интервью).",Количество позитивных упоминаний в соцсетях о представителях этих групп в контексте проекта.
Капитализация культурных институций,Созидательный труд,"Рост собственных доходов учреждения (от продажи билетов, сувениров, аренды) за период проекта.","Увеличение стоимости нематериальных активов (бренда, репутации) по оценке независимых экспертов."
Капитализация культурных организаций и проектов,Созидательный труд,"Объем внебюджетных инвестиций, привлеченных на развитие проекта.","Количество партнеров, готовых финансировать следующие сезоны."
"Качественный рост культурных и досуговых запросов граждан, в том числе в отношении медиапродукции","Высокие нравственные идеалы, Приоритет духовного над материальным","Рост числа запросов в поисковых системах на темы, связанные с проектом ","Увеличение доли зрителей, выбирающих сложные жанры (опера, балет, лекции) вместо развлекательных."
Когнитивный рост,Жизнь,Рост показателей кратковременной памяти и логического мышления (по тесту Равена) у постоянных участников.,Количество решенных творческих задач в ходе воркшопов (на единицу времени).
Конкурентоспособность региона,Служение Отечеству и ответственность за его судьбу,Рост позиции региона в рейтинге инвестиционной привлекательности (национальные рейтинги).,"Увеличение числа деловых миссий и переговоров, инициированных гостями проекта."
Консолидация местного сообщества,"Гражданственность, Служение Отечеству и ответственность за его судьбу, Коллективизм, Историческая память и преемственность поколений","Рост числа совместных инициатив, поддержанных голосованием на сходах.",Снижение числа конфликтов между соседями (по данным мировой юстиции) в районе.
Мотивация активного времяпровождения,Жизнь,Рост числа зарегистрированных участников спортивно-досуговых групп после проекта.,Увеличение километража пешеходных маршрутов в парках (по данным трекеров).
Мотивация активного образа жизни,Жизнь,"Количество человек, купивших спортивный инвентарь или абонементы после мотивационных акций.",Снижение доли сидячего досуга (ТВ/гаджеты) по самоотчетам участников.
Мотивация путешествий и активного времяпровождения,Жизнь,Рост числа запросов на туристические маршруты по территории (в офисе туризма).,"Количество новых геодневников и блогов, созданных участниками во время поездок."
Национальная идентичность / развитие межнациональных / межкультурных связей,Единство народов России,Количество совместных мероприятий разных этнических групп.,Рост индекса толерантности и гордости за свою страну (опрос).
Обеспечение возможности отвлечения от повседневных забот,Крепкая семья,"Количество посетителей, указавших «эмоциональную перезагрузку» в отзывах.",Средняя продолжительность пребывания на площадке в сравнении с типичными городскими местами.
"Обеспечение условий для развлечений, удовольствий, радости",Крепкая семья,Рейтинг радости (средняя оценка 10-балльной шкалы) по итогам каждого мероприятия.,Количество повторных посещений (один и тот же участник приходит снова).
Обогащение культурно-интеллектуального досуга жителей и гостей ,Приоритет духовного над материальным,"Количество уникальных форматов событий (лекций, квизов, мастер-классов) в месяц.",Рост числа посетителей из других районов/городов.
опыт переживания эстетического удовольствия,Приоритет духовного над материальным,"Доля зрителей, испытавших сильные эмоции (по шкале пика переживания).",Количество фотографий/постов в соцсетях с хештегом проекта и словом «красота».
Освоенность общественных зон,Справедливость,Увеличение среднего времени пребывания людей в зоне (замеры в разное время суток).,"Количество новых малых форм (лавок, урн, освещения) и их использование."
Ответственное отношение к своему здоровью,Жизнь,"Рост доли участников, проходящих регулярные медосмотры.",Количество отказов от вредных привычек в рамках проекта (зафиксировано в дневниках).
"Повышение знаний и актуализация представления о современной культурной, образовательной, литературной повестках России",Приоритет духовного над материальным,Количество правильных ответов в тесте по актуальным литературным новинкам и трендам.,"Число участников, назвавших имена современных деятелей культуры после проекта."
Повышение навыков обучения,Созидательный труд,Снижение времени на выполнение учебных задач в группах (замер эффективности).,"Количество примененных новых техник конспектирования, мнемоники."
Повышение общей удовлетворенности жизнью через самовыражение,Достоинство,Рост среднего балла удовлетворенности жизнью (по шкале Кантрила) у постоянных участников.,Количество записей в дневниках с выражением благодарности проекту.
"Повышение ожиданий публики от уровня культурных событий в городе в целом, интерес к новым именам (расширение кругозора и мотивации)",Приоритет духовного над материальным,Рост средней оценки за событие (по сравнению с аналогичными в прошлом году).,Количество требований/предложений о более сложном контенте в анкетах.
Повышение привлекательности для туристов (иностранных и из других регионов),Историческая память и преемственность поколений,Рост числа ночевок в гостиницах и гостевых домах в период проведения проекта.,Количество уникальных посетителей из других регионов (по данным билетных систем).
"Повышение самоэффективности,",Созидательный труд,Рост уверенности в своих силах (по шкале самоэффективности Шварцера).,"Количество самостоятельных проектов, запущенных участниками без поддержки кураторов."
Повышение социокультурного потенциала общества,Приоритет духовного над материальным,Индекс разнообразия культурных мероприятий на душу населения.,"Рост доли населения, посещающего хотя бы одно событие в год."
Повышение удовлетворенностью жизнью,Достоинство,Улучшение эмоционального фона (по опроснику PANAS).,Снижение жалоб на скуку и отсутствие досуга.
Повышение уровня знаний,Жизнь,Средний балл по итоговому тесту на знание темы проекта.,Количество правильно решенных кейсов в группах.
Повышение уровня знаний в обществе,Приоритет духовного над материальным,Средний балл по итоговому тесту на знание темы проекта.,Количество правильно решенных кейсов в группах.
"Повышение эффектов благополучия (стресс, самооценка, уверенность, удовольствие…)",Достоинство,"Снижение уровня кортизола (по возможности – замеры), или субъективное снижение стресса.",Рост самооценки по шкале Розенберга.
"Поддержка людей в том, чтобы позитивно встречать риски",Достоинство,"Количество участников, принявших участие в рискованных (но безопасных) активностях, например, дебатах, публичных выступлениях.",Рост толерантности к неопределенности (опрос).
Позитивная связь с миром природы,Жизнь,"Количество созданных природных арт-объектов (инсталляции из веток, камней).","Рост времени, проведенного на открытом воздухе (по трекерам)."
Позитивное ощущение места,Жизнь,Рост индекса привязанности к месту (опрос).,Количество позитивных отзывов в соцсетях о локации.
Помощь в изменении имиджа общественных организаций или государственных органов,Гражданственность,Рост рейтинга доверия к организации (опрос).,Увеличение числа положительных публикаций в СМИ.
Помощь правонарушителям и потерпевшим в решении проблемы преступности,Справедливость,"Количество участников из числа осужденных, охваченных реабилитацией.",Снижение рецидивов среди участников проекта (по данным УИИ).
"Понимание себя как части культуры, общества","Гражданственность, Историческая память и преемственность поколений","Доля участников, отметивших усиление идентичности (опрос).",Количество созданных проектов на тему «моя культура» (автобиографические работы).
Поощрение взрослых использовать возможности образования и профессиональной подготовки на протяжении всей жизни,"Достоинство, Права и свободы человека",Рост числа взрослых слушателей курсов на площадке.,Количество полученных дополнительных профессий/навыков среди участников старше 45 лет.
практики рефлексии,Достоинство,"Количество регулярных рефлексивных дневников, заполняемых участниками.",Рост умения формулировать собственные цели (по методике самоотчета).
"Привлекательность «точки» культуры для творческих людей и профессий, влияние на состав населения и за счёт этого на благополучие территории","Жизнь, Права и свободы человека","Рост числа резидентов-творцов, работающих на площадке.",Увеличение доли креативных профессий среди жителей района (по данным статистики).
Привлекательность региона,"Жизнь, Достоинство",Рост числа запросов в поисковиках «переезд в регион».,Увеличение прямых иностранных инвестиций в креативный сектор.
Проявление общественной значимости,Служение Отечеству и ответственность за его судьбу,Количество упоминаний проекта в отчетах власти и общественных палат.,"Увеличение числа волонтеров, присоединившихся к проекту без агитации."
Прямой вклад в экономическое развитие как поставщика услуг,Служение Отечеству и ответственность за его судьбу,"Объем доходов от платных услуг проекта (билеты, аренда).",Количество новых договоров с внешними заказчиками.
Прямой и косвенный вклад в занятость,Созидательный труд,Количество созданных постоянных рабочих мест (трудовые договоры).,"Рост доходов местных самозанятых, сотрудничающих с проектом."
Равенство возможностей,"Достоинство, Справедливость, Милосердие, Гуманизм","Количество участников из разных социальных групп (по доходам, возрасту, здоровью).",Доля льготных мест и доступных мероприятий.
"Развитие гражданского участия, вовлеченности","Права и свободы человека, Гражданственность","Количество подписей, собранных под петициями и инициативами.",Рост явки на общественные слушания.
"Развитие гражданского участия, вовлечённости, ответственности, местного политического процесса",Гражданственность,Число выдвинутых инициатив с четким планом реализации.,"Количество участников, избранных в советы домов или ТОС."
Развитие когнитивных способностей,Жизнь,Рост скорости реакции и решения задач (замеры).,Увеличение дивергентного мышления (тест Торренса).
Развитие контактов между поколениями ,"Гуманизм, Коллективизм, Историческая память и преемственность поколений",Количество совместных мероприятий «дети-взрослые» (парное участие).,Рост взаимного уважения (опрос обеих групп).
Развитие лидерских качеств,Гражданственность,"Количество участников, взявших на себя координацию подгрупп.",Рост уверенности в публичных выступлениях (по самооценке).
Развитие партнерств,Коллективизм,Количество новых меморандумов о сотрудничестве.,Рост финансирования из совместных бюджетов.
"Развитие рынка труда в сфере культуры
",Созидательный труд,Рост числа вакансий в культурной сфере региона.,Увеличение средней заработной платы в отрасли (по данным статистики).
Развитие сообщества творческих профессионалов,"Созидательный труд, Коллективизм",Количество новых участников творческих объединений.,"Количество совместных проектов, реализованных без участия организаторов."
"развитие сообщества художников, креативных индустрий,","Коллективизм, Взаимопомощь и взаимоуважение",Рост числа резидентов в творческих кластерах.,Количество поданных заявок на гранты от местных художников.
Развитие социального капитала,Жизнь,Индекс плотности социальных связей (по опросу).,Количество взаимных услуг (бартерных обменов) между участниками.
Развитие эмоционального интеллекта,"Взаимопомощь и взаимоуважение, Милосердие, Гуманизм",Рост уровня эмпатии (тест эмоционального интеллекта).,Снижение конфликтности в группах (число обращений к медиаторам).
Расширение возможностей получения знаний (по сферам/отраслям знаний),"Справедливость, Жизнь","оличество новых образовательных программ, доступных бесплатно.",Рост числа посещений библиотек/медиатек на площадке.
Расширение пользовательского и культурного опыта жителей  за счет участия в событиях различных форматов,Приоритет духовного над материальным,"Количество посетителей, побывавших на событии впервые в своей жизни.","Рост числа форматов, оцененных как «новые» (опрос)."
Расширение потенциала,Жизнь,Рост амбициозности планов у участников (опрос).,"Количество новых навыков, осваиваемых за месяц."
Расширение участия,Жизнь,"Рост доли пассивных зрителей, ставших волонтерами.","Количество людей, вовлеченных в соавторство."
Расширение участия в социальной деятельности,"Гражданственность, Служение Отечеству и ответственность за его судьбу",Рост числа регистраций на социальные проекты.,Количество выявленных личных изменений (анкета открытого типа).
Расширенная способность к саморефлексии,"Взаимопомощь и взаимоуважение, Жизнь",Рост глубины рефлексивных эссе (по экспертной оценке).,Количество выявленных личных изменений (анкета открытого типа).
Расширенная способность к сопереживанию,"Взаимопомощь и взаимоуважение, Милосердие, Гуманизм",Рост индекса эмпатии.,"Количество актов помощи (денежной, вещевой), инициированных участниками."
Рост общественной ценности и повышение статуса семьи,Крепкая семья,Участие нескольких поколений одной семьи в проектах.,Рост числа семейных мероприятий и положительных отзывов о семейном досуге.
Рост социального капитала,"Гражданственность, Гуманизм","Количество новых знакомств, переросших в деловые контакты.",Рост уровня межличностного доверия (опрос).
Рост цифровизации сферы культуры и искусства ,Созидательный труд,Количество оцифрованных единиц хранения / онлайн-экскурсий.,Рост онлайн-посещаемости и числа скачиваний.
Система услуг для пожилых / для людей с ограниченными возможностями,"Достоинство, Милосердие, Справедливость","Количество адаптированных услуг (специальные сеансы, трансфер).",Доля удовлетворенности качеством у этих групп.
Снижение антропогенного воздействия,Жизнь,Снижение объема отходов на мероприятии (в кг).,Экономия воды/электричества по сравнению с базовым периодом.
Снижение стигматизации и маргинализации,Милосердие,Рост позитивных упоминаний о целевых группах в медиа.,Количество совместных мероприятий с участием маргинализированных и других групп.
Содействие ведению текущей деятельности  культурных институций,Созидательный труд,Количество дополнительных рейсов/часов работы оборудования.,Рост загрузки залов (в часах).
"Содействие людям в исследовании своих ценностей, смыслов и мечтаний","Гражданственность, Историческая память и преемственность поколений",Количество глубинных интервью и рефлексивных сессий.,"Рост числа участников, сформулировавших личные цели на год."
Содействие развитию партнерства,"Коллективизм, Взаимопомощь и взаимоуважение",Количество совместных мероприятий с партнерами. ,"Объем взаимных ресурсов (финансовых, информационных)."
Содействие развитию сообщества,"Гражданственность, Патриотизм, Коллективизм",Рост числа активных участников (не менее 1 раза в месяц).,Создание чата/группы с постоянной активностью.
Содействие созданию более спокойной атмосферы в медицинских центрах,"Достоинство, Милосердие, Гуманизм",Количество выступлений/выставок в больницах.,Снижение уровня тревожности пациентов (опрос) после контакта с искусством.
Создание социальных связей,"Коллективизм, Взаимопомощь и взаимоуважение","Количество новых дружеских пар, сохраняющихся через 3 месяца.",Рост числа взаимных визитов и встреч вне проекта.
Сохранение наследия,Историческая память и преемственность поколений,Количество отреставрированных предметов/документов.,Рост индекса осведомленности о наследии (опрос).
"Спрос на инженерно-технические решения и инновационные технологии (климатическая техника, охранная техника и безопасность, освещение, системы хранения, противодействие правонарушениям в сфере культуры)",Созидательный труд,"Количество внедренных инноваций (климат-контроль, видеоархив)","Объем средств, потраченных на приобретение новой техники."
стимуляция креативности,Жизнь,"Количество оригинальных идей, предложенных участниками (по шкале новизны)",Рост баллов по тесту креативности Торренса.
уважение к разнообразию и непохожести,"Справедливость, Милосердие, Гуманизм",Рост терпимости к иным мнениям (опрос).,Количество мультикультурных мероприятий с участием разных групп.
"Увеличение числа граждан (молодежи), стремящихся жить и работать на родине","Права и свободы человека, Созидательный труд, Патриотизм","Рост доли выпускников, планирующих остаться в регионе (опрос).",Увеличение числа заявок на местные вакансии от молодежи.
Увеличилась трудовая мобильность работников сферы искусства (в т. ч. студентов профильных ВУЗов) из центров в регионы ,Созидательный труд,"Количество специалистов, переехавших из столицы в регион для работы.",Число гастрольных проектов с участием местных артистов в других городах.
Удовольствие,Жизнь,Средняя оценка удовольствия по шкале (1-10).,Количество спонтанных улыбок/положительных эмоций (наблюдение).
"Укрепление единства и сплоченности общества на основе гражданской идентичности, сохранение духовно-нравственных ценностей","Патриотизм, Гражданственность, Служение Отечеству и ответственность за его судьбу, Высокие нравственные идеалы, Приоритет духовного над материальным",Рост индекса социальной сплоченности (опрос).,Снижение числа межгрупповых конфликтов.
Укрепление социального капитала,Жизнь,Количество взаимопомощи в решении бытовых проблем.,Рост членства в общественных организациях.
Улучшенные навыки коммуникации,Жизнь,Рост баллов за эффективность общения в группе (оценка экспертов).,Снижение времени на принятие совместных решений.
"Уменьшение изоляции, через обретение новых дружеских связей","Милосердие, Справедливость, Гуманизм","Количество участников, указавших, что нашли друзей.","Рост частоты неформальных встреч (кафе, прогулки)."
Услуги для людей с ограниченными возможностями,"Милосердие, Гуманизм, Справедливость",Число доступных мероприятий в месяц.,Удовлетворенность качеством (опрос).
"Формирование гордости, уважительного отношения к месту проживания","Патриотизм, Гражданственность",Рост индекса гордости (опрос).,"Количество граффити/арт-объектов, прославляющих город."
Формирование идентичности,"Патриотизм, Гражданственность","Количество участников, идентифицирующих себя как «человек этого места» (опрос).",Создание новых городских символов/брендов.
Формирование идентичности и узнаваемости,Созидательный труд,Рост числа упоминаний бренда территории в соцсетях.,Количество запросов в поисковиках о территории как о культурном центре.
"Формирование отношения к бережливости, уважения к наследию, созданному помимо тебя, включая природу","Историческая память и преемственность поколений, Служение Отечеству и ответственность за его судьбу","Рост числа участников, сортирующих мусор или экономящих ресурсы.",Количество добровольных пожертвований на сохранение памятников.
Формирование отношения к разнообразию,"Гуманизм, Милосердие, Справедливость",Рост позитивных установок по шкале открытости опыту.,Количество совместных проектов разных возрастных/этнических групп.
"Чувство принадлежности, причастности, вовлеченности",Достоинство,Индекс принадлежности (опрос).,"Количество участников, присутствующих на всех событиях сезона."
"чувство связи с прошлым (история, наследие, идентичность)",Историческая память и преемственность поколений,Количество исследовательских проектов по генеалогии/краеведению.,Рост знаний по истории (тестирование).
"Экологическая осведомленность / Повышение экологических знаний, осведомленность об экологических проблемах","Гражданственность, Служение Отечеству и ответственность за его судьбу",Рост баллов в тесте на экологическую грамотность.,Количество правильно отвеченных вопросов в викторинах.
Экологичные привычки и поведение,Жизнь,Снижение потребления пластика на мероприятиях (в граммах на человека).,Рост доли использующих многоразовую тару.
Эстетические качества среды,Приоритет духовного над материальным,Рост числа положительных оценок внешнего вида территории (опрос).,"Количество арт-объектов, повышающих эстетику."
Cпособность понимать и ценить искусство и культуру,Приоритет духовного над материальным,Рост правильных интерпретаций смыслов в арт-объектах (тест).,Количество посещений музеев/выставок после проекта.
