Результат,Отмеченные ценности,Предложения по изменению
Развитие социального капитала,Жизнь,
Развитие эмоционального интеллекта,"Взаимопомощь и взаимоуважение, Милосердие, Гуманизм",
Расширение возможностей получения знаний (по сферам/отраслям знаний),"Справедливость, Жизнь",
Расширение пользовательского и культурного опыта жителей  за счет участия в событиях различных форматов,Приоритет духовного над материальным,
Расширение потенциала,Жизнь,
Расширение участия,Жизнь,
Расширение участия в социальной деятельности,"Гражданственность, Служение Отечеству и ответственность за его судьбу",
Расширенная способность к саморефлексии,"Взаимопомощь и взаимоуважение, Жизнь",
Расширенная способность к сопереживанию,"Взаимопомощь и взаимоуважение, Милосердие, Гуманизм",
Рост общественной ценности и повышение статуса семьи,Крепкая семья,
Рост социального капитала,"Гражданственность, Гуманизм",
Рост цифровизации сферы культуры и искусства ,Созидательный труд,
Система услуг для пожилых / для людей с ограниченными возможностями,"Достоинство, Милосердие, Справедливость",
Снижение антропогенного воздействия,Жизнь,
Снижение стигматизации и маргинализации,Милосердие,
Содействие ведению текущей деятельности  культурных институций,Созидательный труд,
"Содействие людям в исследовании своих ценностей, смыслов и мечтаний","Гражданственность, Историческая память и преемственность поколений",
Содействие развитию партнерства,"Коллективизм, Взаимопомощь и взаимоуважение",
Содействие развитию сообщества,"Гражданственность, Патриотизм, Коллективизм",
Содействие созданию более спокойной атмосферы в медицинских центрах,"Достоинство, Милосердие, Гуманизм",
Создание социальных связей,"Коллективизм, Взаимопомощь и взаимоуважение",
Сохранение наследия,Историческая память и преемственность поколений,
"Спрос на инженерно-технические решения и инновационные технологии (климатическая техника, охранная техника и безопасность, освещение, системы хранения, противодействие правонарушениям в сфере культуры)",Созидательный труд,
стимуляция креативности,Жизнь,
уважение к разнообразию и непохожести,"Справедливость, Милосердие, Гуманизм",
"Увеличение числа граждан (молодежи), стремящихся жить и работать на родине","Права и свободы человека, Созидательный труд, Патриотизм",
#REF!,#REF!,
Увеличилась трудовая мобильность работников сферы искусства (в т. ч. студентов профильных ВУЗов) из центров в регионы ,Созидательный труд,
Удовольствие,Жизнь,
"Укрепление единства и сплоченности общества на основе гражданской идентичности, сохранение духовно-нравственных ценностей","Патриотизм, Гражданственность, Служение Отечеству и ответственность за его судьбу, Высокие нравственные идеалы, Приоритет духовного над материальным",
Укрепление социального капитала,Жизнь,
Улучшенные навыки коммуникации,Жизнь,
"Уменьшение изоляции, через обретение новых дружеских связей","Милосердие, Справедливость, Гуманизм",
Услуги для людей с ограниченными возможностями,"Милосердие, Гуманизм, Справедливость",
"Формирование гордости, уважительного отношения к месту проживания","Патриотизм, Гражданственность",
Формирование идентичности,"Патриотизм, Гражданственность",
Формирование идентичности и узнаваемости,Созидательный труд,
"Формирование отношения к бережливости, уважения к наследию, созданному помимо тебя, включая природу","Историческая память и преемственность поколений, Служение Отечеству и ответственность за его судьбу",
Формирование отношения к разнообразию,"Гуманизм, Милосердие, Справедливость",
"Чувство принадлежности, причастности, вовлеченности",Достоинство,
"чувство связи с прошлым (история, наследие, идентичность)",Историческая память и преемственность поколений,
"Экологическая осведомленность / Повышение экологических знаний, осведомленность об экологических проблемах","Гражданственность, Служение Отечеству и ответственность за его судьбу",
Экологичные привычки и поведение,Жизнь,
Эстетические качества среды,Приоритет духовного над материальным,
Cпособность понимать и ценить искусство и культуру,Приоритет духовного над материальным,
